Date,Inbound,Outbound
2016-06-12,0.79,0.83
2016-06-13,0.76,0.85
2016-06-14,0.76,0.85
2016-06-15,0.75,0.85
2016-06-16,0.75,0.85
2016-06-17,0.76,0.85
2016-06-18,0.79,0.85
2016-06-19,0.78,0.83
2016-06-20,0.76,0.85
2016-06-21,0.76,0.85
2016-06-22,0.75,0.85
2016-06-23,0.75,0.85
2016-06-24,0.76,0.85
2016-06-25,0.79,0.85
2016-06-26,0.78,0.83
2016-06-27,0.76,0.85
2016-06-28,0.76,0.85
2016-06-29,0.76,0.85
2016-06-30,0.75,0.85
2016-07-01,0.75,0.85
2016-07-02,0.79,0.85
2016-07-03,0.79,0.83
2016-07-04,0.77,0.83
2016-07-05,0.76,0.85
2016-07-06,0.76,0.85
2016-07-07,0.76,0.85
2016-07-08,0.76,0.86
2016-07-09,0.79,0.85
2016-07-10,0.78,0.83
2016-07-11,0.77,0.85
2016-07-12,0.76,0.85
2016-07-13,0.76,0.85
2016-07-14,0.76,0.85
2016-07-15,0.76,0.86
2016-07-16,0.79,0.85
2016-07-17,0.80,0.84
2016-07-18,0.77,0.85
2016-07-19,0.76,0.85
2016-07-20,0.76,0.85
